"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Uncharted 4: A Thief's End","1440","12510","8","20","239","9.958333"
"2","Just Chatting","780","7350","8","17","230","17.692307"
"3","Bendy and the Ink Machine","585","7980","13","23","111","11.384615"
"4","The Jackbox Party Pack 4","225","3240","14","18","66","17.6"
"5","Grand Theft Auto V","195","2400","12","15","22","6.76923"
"6","Krunker","165","1785","10","16","98","35.636363"
"7","Torchlight III","165","1830","11","14","28","10.181818"
"8","Borderlands 2","165","2295","13","16","24","8.727272"
"9","Rocket League","120","1155","9","11","35","17.5"
"10","Overcooked!","105","1935","18","22","50","28.571428"
"11","Tabletop Simulator","90","1380","15","20","21","14"
"12","Unlisted on Twitch","45","540","12","13","28","37.333333"
