"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Shadow of the Tomb Raider","1350","3300","2","7","47","2.088888"
"2","The Legend of Zelda: Breath of the Wild","810","2490","2","5","20","1.481481"
"3","Mahjong Soul","750","2895","3","6","16","1.28"
"4","Super Metroid","585","2340","3","8","13","1.333333"
"5","Slay the Spire","555","1350","1","5","19","2.054054"
"6","New Super Mario Bros. U","450","2865","5","20","42","5.6"
"7","A Plague Tale: Innocence","420","1575","3","6","1","0.142857"
"8","The Legend of Zelda: A Link to the Past","255","1365","4","8","8","1.882352"
"9","Sekiro: Shadows Die Twice","255","525","2","3","9","2.117647"
"10","Monster Hunter: World","135","120","0","2","3","1.333333"
"11","Terranigma","105","480","3","6","6","3.428571"
"12","Monster Boy and the Cursed Kingdom","90","105","1","2","3","2"
"13","Games + Demos","90","225","2","3","4","2.666666"
"14","Donkey Kong Country: Tropical Freeze","60","120","2","3","2","2"
