"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","4215","12480","2","7","222","3.160142"
"2","Grand Theft Auto V","1170","4035","2","9","49","2.51282"
"3","Madden NFL 19","435","2310","3","10","31","4.275862"
"4","Fortnite","345","1500","4","6","28","4.869565"
"5","Madden NFL 20","315","750","2","4","1","0.190476"
"6","Tom Clancy's Rainbow Six Siege","225","705","3","6","12","3.2"
"7","Call of Duty: Black Ops 4","210","465","2","3","4","1.142857"
"8","FIFA 19","150","330","2","3","3","1.2"
"9","Horizon Chase","135","270","2","3","2","0.888888"
"10","Need For Speed: Payback","75","195","2","4","6","4.8"
"11","Unlisted on Twitch","45","225","5","5","3","4"
"12","Battlefield V","30","105","3","5","9","18"
"13","Brawlhalla","30","60","2","2","1","2"
"14","Just Chatting","15","45","3","3","0","0"
