"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Destiny 2","1335","9885","7","26","182","8.179775"
"2","The Binding of Isaac: Repentance","1245","7650","5","16","178","8.578313"
"3","Apex Legends","900","5445","5","10","92","6.133333"
"4","Astroneer","855","8280","9","20","125","8.771929"
"5","Fortnite","795","5610","7","14","96","7.245283"
"6","Just Chatting","330","2580","7","14","56","10.181818"
"7","DOOM","300","1785","5","13","27","5.4"
"8","Resident Evil 4","270","2070","7","14","61","13.555555"
"9","No Man's Sky","270","1650","4","9","38","8.444444"
"10","Sonic the Hedgehog 3","150","2310","15","18","17","6.8"
"11","Overwatch","60","375","6","8","11","11"
"12","Minecraft","30","210","7","7","8","16"
