"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tom Clancy's Rainbow Six Siege","195","4140","16","36","44","13.538461"
"2","World of Warcraft","150","4920","32","45","38","15.2"
"3","Rocket League","45","885","19","29","13","17.333333"
