"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Mario Maker 2","585","1260","1","5","13","1.333333"
"2","DARK SOULS III","495","1140","2","3","8","0.969696"
