"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","7 Days to Die","780","4455","5","12","170","13.076923"
"2","Just Chatting","705","3075","4","8","171","14.553191"
"3","Dead by Daylight","525","3405","5","11","127","14.514285"
"4","Barotrauma","435","2595","5","9","126","17.37931"
"5","Teamfight Tactics","390","1980","5","9","62","9.538461"
"6","League of Legends","225","1590","7","9","49","13.066666"
"7","Overwatch","180","765","4","7","63","21"
"8","Jackbox Party Packs","165","2415","14","21","87","31.636363"
"9","Domina","105","540","5","7","29","16.571428"
"10","Flashing Lights - Police Fire EMS","105","390","3","6","30","17.142857"
"11","FTL: Faster Than Light","90","225","2","5","11","7.333333"
