"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Monster Boy and the Cursed Kingdom","570","1155","1","4","23","2.421052"
"2","League of Legends","480","705","1","3","27","3.375"
"3","PAYDAY 2","390","1050","2","4","24","3.692307"
"4","Teamfight Tactics","375","750","2","3","7","1.12"
"5","SEUM: Speedrunners from Hell","270","495","1","3","12","2.666666"
"6","Outlast II","210","375","1","3","9","2.571428"
"7","Outlast","180","210","1","3","11","3.666666"
"8","Bloons Adventure Time TD","150","345","2","3","8","3.2"
"9","The Cycle","135","315","2","3","8","3.555555"
"10","Layers of Fear","120","240","2","2","3","1.5"
"11","Crysis 2","90","75","0","1","4","2.666666"
"12","Call of Juarez: Gunslinger","90","105","1","2","2","1.333333"
"13","Circle Empires","75","165","2","3","5","4"
"14","Eagle Island","75","90","1","2","6","4.8"
"15","The Messenger","60","120","2","2","3","3"
"16","Dota Underlords","60","45","0","1","2","2"
"17","INVAXION","45","60","1","2","3","4"
"18","Woodle Tree","30","45","1","2","4","8"
"19","DOOM 3","30","30","1","1","4","8"
"20","Swords & Souls: Neverseen","30","75","2","3","0","0"
"21","Super Cyborg","15","15","1","1","0","0"
"22","Blazing Chrome","15","15","1","1","0","0"
"23","HellSinker","15","0","0","0","0","0"
"24","Touhou Project","15","0","0","0","0","0"
"25","The Forest","15","45","3","3","0","0"
"26","Outlast 2","15","15","1","1","0","0"
