"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","PUBG: BATTLEGROUNDS","1800","13200","6","19","670","22.333333"
"2","Assassin's Creed II","1425","11400","7","21","484","20.378947"
"3","Divinity: Original Sin","1005","6405","6","15","277","16.537313"
"4","League of Legends","975","6465","6","13","479","29.476923"
"5","Hellblade: Senua's Sacrifice","300","1275","3","7","135","27"
"6","Unlisted on Twitch","300","2190","6","11","420","84"
"7","For Honor","240","1680","7","15","64","16"
"8","Just Chatting","225","1455","5","14","160","42.666666"
"9","Grand Theft Auto V","180","705","3","8","60","20"
"10","Teamfight Tactics","165","990","5","9","36","13.090909"
"11","Talk Shows & Podcasts","150","1740","11","14","78","31.2"
"12","Neverwinter Nights","105","945","9","11","56","32"
"13","Tomb Raider: Anniversary","75","300","4","5","37","29.6"
"14","Brawlhalla","60","825","13","15","28","28"
