"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Rocket League","1605","30225","16","36","446","16.672897"
"2","Tom Clancy's The Division 2","660","12180","17","28","199","18.090909"
"3","Dota Underlords","510","7275","14","21","98","11.529411"
"4","Surviving Mars","390","5805","14","21","91","14"
"5","Just Chatting","375","7230","17","27","96","15.36"
"6","Raft","330","6000","17","27","155","28.181818"
"7","Satisfactory","300","5130","17","24","59","11.8"
"8","Food & Drink","225","5085","22","31","91","24.266666"
"9","Fallout 76","180","3720","20","25","66","22"
"10","Kingdom Come: Deliverance","135","3030","22","30","35","15.555555"
"11","theHunter: Call of the Wild","120","2430","20","24","36","18"
"12","Omerta: City of Gangsters","90","1905","21","23","17","11.333333"
"13","Music","30","420","14","15","11","22"
