"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","PUBG: BATTLEGROUNDS","2205","308520","110","692","38233","1040.353741"
"2","Special Force","780","505350","651","1089","52667","4051.307692"
"3","Unlisted on Twitch","615","38280","47","131","5152","502.634146"
"4","Chess Rush","105","1425","13","23","364","208"
"5","Mega Man X Collection","75","915","12","16","345","276"
"6","Limbo","75","2910","38","47","607","485.6"
"7","Talk Shows & Podcasts","75","1245","20","28","450","360"
"8","Saint Seiya: Awakening","75","1845","24","41","433","346.4"
"9","Dota Underlords","60","1605","26","39","365","365"
"10","Zone 4: Fight District","60","2130","35","44","438","438"
"11","Cat Quest","45","375","8","9","62","82.666666"
"12","Extraordinary Ones","45","675","15","16","436","581.333333"
"13","LoveBeat","30","390","13","15","124","248"
