"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","DOOM II: Hell on Earth","1095","7800","6","17","178","9.753424"
"2","Painkiller","450","2100","3","8","44","5.866666"
"3","Darksiders","165","600","2","6","16","5.818181"
"4","Painkiller: Overdose","120","570","4","6","9","4.5"
"5","Overwatch","120","435","3","5","14","7"
"6","Ion Fury","120","525","4","6","12","6"
"7","DOOM","90","255","2","6","7","4.666666"
"8","Guacamelee!","90","510","5","7","13","8.666666"
"9","Blood","75","285","3","6","5","4"
"10","Duke Nukem 3D","60","480","8","12","8","8"
"11","Guacamelee! Gold Edition","60","105","1","3","7","7"
"12","AMID EVIL","60","225","3","5","6","6"
"13","Quake Champions","60","195","2","4","6","6"
"14","Team Fortress 2","45","225","5","9","14","18.666666"
"15","Hard Reset: Redux","45","135","3","3","6","8"
