"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Warframe","1125","4920","3","13","171","9.12"
"2","Grand Theft Auto V","675","1590","2","5","55","4.888888"
"3","A Plague Tale: Innocence","165","300","1","2","11","4"
"4","The Sims 4","90","165","1","3","10","6.666666"
"5","Rust","60","120","2","2","0","0"
"6","Just Chatting","45","90","2","2","11","14.666666"
"7","Outlast II","45","120","2","3","2","2.666666"
"8","Empires Apart","30","30","1","2","4","8"
"9","Stick Fight: The Game","30","60","2","2","5","10"
"10","Minecraft","30","30","1","2","11","22"
