"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","NBA 2K19","1200","11280","9","23","202","10.1"
"2","Dota Underlords","885","8265","8","18","133","9.016949"
"3","Madden NFL 20","825","7290","9","16","128","9.30909"
"4","Chef: A Restaurant Tycoon Game","690","6825","9","16","66","5.73913"
"5","Counter-Strike: Global Offensive","675","7965","9","30","131","11.644444"
"6","Escape from Tarkov","675","8805","12","22","89","7.911111"
"7","Overwatch","570","6855","10","22","180","18.947368"
"8","They Are Billions","540","5385","9","16","92","10.222222"
"9","Wolfenstein II: The New Colossus","435","3465","7","11","84","11.586206"
"10","Tropico 6","360","5175","14","19","70","11.666666"
"11","Squad","150","690","4","9","14","5.6"
"12","SteamWorld Quest: Hand of Gilgamech","105","450","4","6","11","6.285714"
"13","The Jackbox Party Pack 4","105","1125","10","12","33","18.857142"
"14","Gears 5","75","405","5","6","10","8"
"15","Super Mega Baseball 2","45","330","7","10","13","17.333333"
"16","Wolfenstein: Youngblood","30","30","1","2","27","54"
