"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Mortal Kombat 11","2400","40740","15","29","1210","30.25"
"2","Monster Hunter: World","1245","21690","16","26","643","30.987951"
"3","Just Chatting","930","14220","13","25","789","50.903225"
"4","Fire Emblem: Three Houses","870","207555","172","606","580","40"
"5","Apex Legends","630","13035","20","31","166","15.809523"
"6","The Legend of Zelda: Breath of the Wild","375","5880","15","20","158","25.28"
"7","DOOM","375","7545","19","26","182","29.12"
"8","Gwent: The Witcher Card Game","330","5670","17","24","196","35.636363"
"9","RAGE 2","210","4095","18","24","81","23.142857"
"10","My Friend Pedro","165","3375","20","26","62","22.545454"
"11","Papers, Please","75","1455","19","21","24","19.2"
"12","Overwatch","75","825","11","19","52","41.6"
"13","Teamfight Tactics","60","1215","20","22","7","7"
