"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","H1Z1","795","4845","5","20","181","13.660377"
"2","Detroit: Become Human","615","2280","3","6","24","2.341463"
"3","Apex Legends","465","1170","2","4","26","3.354838"
"4","Unlisted on Twitch","420","1185","2","8","56","8"
"5","Warface","255","990","3","5","7","1.647058"
"6","America's Army: Proving Grounds","225","540","1","4","16","4.266666"
"7","Sea of Thieves","210","345","1","3","7","2"
"8","Emily Wants to Play","105","570","5","6","3","1.714285"
"9","PUBG: BATTLEGROUNDS","90","195","2","3","20","13.333333"
"10","Minecraft","90","180","2","3","10","6.666666"
"11","Fortnite","15","45","3","3","3","12"
"12","DayZ","15","60","4","4","0","0"
