"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FIFA 19","1635","11145","5","18","105","3.853211"
"2","Apex Legends","1485","6150","3","9","81","3.272727"
"3","Fortnite","390","1710","4","8","7","1.076923"
"4","Dragon Ball FighterZ","90","375","4","7","3","2"
