"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Games + Demos","1005","3900","3","7","32","1.910447"
"2","Just Chatting","750","3480","4","12","80","6.4"
"3","Super Smash Bros. Ultimate","180","510","2","10","7","2.333333"
"4","Cyberdimension Neptunia: 4 Goddesses Online","135","585","3","8","3","1.333333"
"5","The Idolmaster: Million Live! Theater Days","120","480","3","6","9","4.5"
"6","Splatoon 2","105","345","3","4","2","1.142857"
"7","Music","90","285","3","5","5","3.333333"
"8","The Legend of Zelda: Breath of the Wild","60","285","4","6","7","7"
"9","DJ MAX Respect","60","165","2","3","1","1"
"10","New Super Mario Bros. U","45","225","5","6","4","5.333333"
"11","Bloodstained: Curse of the Moon","30","135","4","5","4","8"
"12","DJMAX Respect","15","60","4","4","0","0"
"13","Super Mario World","15","60","4","4","0","0"
"14","Food & Drink","15","15","1","1","0","0"
