"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Retro","8880","13440","0","7","251","1.695945"
"2","Games + Demos","7035","8055","0","4","135","1.151385"
"3","Phoenix Wright: Ace Attorney","780","1020","1","3","5","0.384615"
"4","Resident Evil 6","750","1020","1","3","6","0.48"
"5","Resident Evil 2","645","750","0","4","4","0.372093"
"6","Fire Pro Wrestling Returns","630","870","1","3","46","4.380952"
"7","Shenmue","600","1455","2","5","8","0.8"
"8","Pokémon: Let's Go, Pikachu!","465","390","0","3","13","1.677419"
"9","Yoshi's Crafted World","405","600","1","3","3","0.444444"
"10","Mega Man","390","825","1","3","7","1.076923"
"11","Secret of Mana","375","555","1","3","6","0.96"
"12","The Jackbox Party Pack","375","375","0","2","8","1.28"
"13","Pokémon FireRed/LeafGreen","360","390","0","4","5","0.833333"
"14","Jackbox Party Packs","360","510","1","4","24","4"
"15","Shenmue II","345","405","0","2","1","0.173913"
"16","Touch Detective","345","480","1","2","1","0.173913"
"17","Fire Pro Wrestling World","315","615","1","4","5","0.95238"
"18","Mortal Kombat: Shaolin Monks","285","630","2","3","5","1.052631"
"19","Viewtiful Joe","270","615","2","4","6","1.333333"
"20","Resident Evil 4","270","360","1","2","0","0"
"21","The Legend of Zelda: Breath of the Wild","225","75","0","2","3","0.8"
"22","Resident Evil 5","225","330","1","2","0","0"
"23","Rolan's Curse","225","465","2","4","1","0.266666"
"24","The Jackbox Party Pack 5","210","315","1","5","11","3.142857"
"25","Mega Man Legends","210","360","1","3","1","0.285714"
"26","Snatcher","210","660","3","4","4","1.142857"
"27","Resident Evil 7: Biohazard","210","120","0","1","4","1.142857"
"28","Def Jam: Fight for NY","210","360","1","2","1","0.285714"
"29","Ganpuru: Gunman's Proof","195","60","0","1","1","0.307692"
"30","Mega Man Legends 2","195","195","1","2","2","0.615384"
"31","The ClueFinders 3rd Grade Adventures: The Mystery of Mathra","195","210","1","4","1","0.307692"
"32","Marvel's Spider-Man","195","390","2","3","0","0"
"33","Mega Man X Anniversary Collection","195","195","1","1","2","0.615384"
"34","SimCity","195","255","1","3","3","0.923076"
"35","SNK 40th Anniversary Collection","195","435","2","4","1","0.307692"
"36","Sonic Adventure 2: Battle","180","360","2","3","2","0.666666"
"37","Stardew Valley","180","15","0","1","2","0.666666"
"38","Kirby Star Allies","180","420","2","3","4","1.333333"
"39","Mega Man 4","180","270","1","3","1","0.333333"
"40","Pokémon Gold","180","345","1","2","5","1.666666"
"41","Owlboy","180","180","1","1","0","0"
"42","Goosebumps: HorrorLand","180","225","1","2","0","0"
"43","Star Wars: Jedi Knight - Jedi Academy","180","375","2","3","2","0.666666"
"44","Threads of Fate","180","315","1","2","2","0.666666"
"45","The Legend of Zelda","165","345","2","3","1","0.363636"
"46","Mighty No. 9","165","345","2","3","2","0.727272"
"47","Wonder Boy: The Dragon's Trap","165","180","1","2","4","1.454545"
"48","Transformers: Devastation","165","195","1","2","2","0.727272"
"49","Super Mario Maker","165","180","1","2","1","0.363636"
"50","Super Monkey Ball 2","165","165","1","1","1","0.363636"
"51","Final Fight","165","30","0","1","0","0"
"52","Mega Man Legacy Collection","165","15","0","1","1","0.363636"
"53","Touch Detective 2 1/2","150","150","1","1","1","0.4"
"54","Drawful 2","135","240","1","2","1","0.444444"
"55","Cuphead","135","165","1","2","5","2.222222"
"56","Mighty Gunvolt","105","135","1","2","0","0"
"57","Splatoon 2","60","150","2","4","1","1"
"58","Fortnite","45","30","0","1","0","0"
"59","Chrono Trigger","45","30","0","1","1","1.333333"
"60","Go! Go! Tank","30","15","0","1","3","6"
"61","Kirby's Return to Dream Land","30","0","0","0","0","0"
"62","Mario & Wario","15","15","1","1","0","0"
"63","Ghostbusters","15","30","2","2","1","4"
