"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 20:01","https://sullygnome.com/channel/dowright/stream/35115148096","329","9541","29","34","6","1","279","50","Science &amp; Technology"
"2","Tuesday 30th July 2019 18:27","https://sullygnome.com/channel/dowright/stream/35100780192","498","13944","28","37","5","0","379","48","Science &amp; Technology"
"3","Monday 29th July 2019 19:36","https://sullygnome.com/channel/dowright/stream/35088998544","399","16359","41","56","22","3","415","61","Science &amp; Technology"
"4","Sunday 28th July 2019 04:32","https://sullygnome.com/channel/dowright/stream/35070295936","298","8642","29","40","11","2","215","43","Science &amp; Technology"
"5","Friday 26th July 2019 19:11","https://sullygnome.com/channel/dowright/stream/35053066944","469","12663","27","37","8","1","333","41","Science &amp; Technology"
"6","Thursday 25th July 2019 21:30","https://sullygnome.com/channel/dowright/stream/35042595200","240","5760","24","35","3","0","173","40","Science &amp; Technology"
"7","Wednesday 24th July 2019 22:03","https://sullygnome.com/channel/dowright/stream/35030849184","282","8460","30","41","11","2","247","54","Science &amp; Technology"
"8","Tuesday 23rd July 2019 20:36","https://sullygnome.com/channel/dowright/stream/35017686784","354","12390","35","44","14","2","381","66","Science &amp; Technology"
"9","Monday 22nd July 2019 19:13","https://sullygnome.com/channel/dowright/stream/35004260000","377","11687","31","45","15","2","362","55","Science &amp; Technology"
"10","Saturday 20th July 2019 18:58","https://sullygnome.com/channel/dowright/stream/34979921536","392","16856","43","68","26","4","428","65","Science &amp; Technology"
"11","Friday 19th July 2019 18:54","https://sullygnome.com/channel/dowright/stream/34966148368","396","9504","24","32","8","1","256","44","Science &amp; Technology"
"12","Thursday 18th July 2019 18:06","https://sullygnome.com/channel/dowright/stream/34953115728","399","10374","26","38","15","2","309","45","Science &amp; Technology"
"13","Wednesday 17th July 2019 20:29","https://sullygnome.com/channel/dowright/stream/34942338256","346","12802","37","73","20","3","348","60","Science &amp; Technology"
"14","Tuesday 16th July 2019 18:26","https://sullygnome.com/channel/dowright/stream/34928194704","364","9100","25","35","5","0","306","51","Science &amp; Technology"
"15","Monday 15th July 2019 18:43","https://sullygnome.com/channel/dowright/stream/34915938960","422","13926","33","53","14","1","375","51","Science &amp; Technology"
"16","Saturday 13th July 2019 16:46","https://sullygnome.com/channel/dowright/stream/34890123408","509","14252","28","47","20","2","478","54","Science &amp; Technology"
"17","Friday 12th July 2019 14:06","https://sullygnome.com/channel/dowright/stream/34875953728","369","9594","26","33","9","1","194","33","Science &amp; Technology"
"18","Thursday 11th July 2019 18:10","https://sullygnome.com/channel/dowright/stream/34865890912","620","21080","34","62","21","2","584","56","Science &amp; Technology"
"19","Wednesday 10th July 2019 20:49","https://sullygnome.com/channel/dowright/stream/34855325488","326","12714","39","57","19","3","305","55","Science &amp; Technology"
"20","Tuesday 9th July 2019 12:34","https://sullygnome.com/channel/dowright/stream/34837691248","401","10025","25","34","8","1","318","48","Science &amp; Technology"
"21","Monday 8th July 2019 14:48","https://sullygnome.com/channel/dowright/stream/34826284912","417","15429","37","48","13","1","461","65","Science &amp; Technology"
"22","Saturday 6th July 2019 14:00","https://sullygnome.com/channel/dowright/stream/34801196080","480","14400","30","39","17","2","478","57","Science &amp; Technology"
"23","Friday 5th July 2019 12:04","https://sullygnome.com/channel/dowright/stream/34787702976","686","26068","38","55","31","2","651","56","Science &amp; Technology"
"24","Thursday 4th July 2019 07:57","https://sullygnome.com/channel/dowright/stream/34774873856","498","13446","27","39","14","1","381","44","Science &amp; Technology"
"25","Wednesday 3rd July 2019 15:46","https://sullygnome.com/channel/dowright/stream/34765503072","389","17894","46","69","25","3","589","90","Science &amp; Technology"
"26","Tuesday 2nd July 2019 21:29","https://sullygnome.com/channel/dowright/stream/34756867248","301","8127","27","41","14","2","215","40","Science &amp; Technology"
"27","Monday 1st July 2019 15:56","https://sullygnome.com/channel/dowright/stream/34740656208","379","8717","23","33","8","1","322","49","Science &amp; Technology"
