"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","1515","7395","4","60","580","22.970297"
"2","Sea of Thieves","1230","4995","3","14","450","21.951219"
"3","Counter-Strike","1020","5715","4","25","465","27.352941"
"4","PUBG: BATTLEGROUNDS","825","5190","5","30","478","34.763636"
"5","FIFA 19","750","2430","2","10","209","16.72"
"6","League of Legends","630","4905","6","38","385","36.666666"
"7","Overwatch","390","960","2","7","71","10.923076"
"8","Sleeping Dogs","345","1350","4","9","106","18.434782"
"9","Just Chatting","150","840","4","10","69","27.6"
"10","Warframe","135","465","2","5","37","16.444444"
"11","Teamfight Tactics","105","150","1","2","30","17.142857"
"12","Tom Clancy's Rainbow Six Siege","105","1305","6","38","199","113.714285"
"13","Battalion Legacy","105","255","2","5","17","9.714285"
"14","Rocket League","90","300","2","6","8","5.333333"
"15","Fortnite","90","450","5","7","24","16"
"16","Dead by Daylight","75","330","4","5","19","15.2"
"17","Deceit","45","75","1","2","2","2.666666"
"18","Rust","45","210","4","5","4","5.333333"
"19","Music","30","405","13","23","51","102"
"20","Overcooked!","30","45","1","2","0","0"
