"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Smash Bros. Ultimate","4455","131265","28","50","1778","23.946127"
"2","Cadence of Hyrule: Crypt of the NecroDancer Featuring the Legend of Zelda","270","6630","24","31","96","21.333333"
"3","Splatoon 2","240","4875","19","29","106","26.5"
"4","Tekken 7","210","3435","15","25","213","60.857142"
"5","Under Night In-Birth Exe:Late[st]","195","4215","18","27","75","23.076923"
"6","Marvel Ultimate Alliance 3: The Black Order","180","3765","20","25","64","21.333333"
"7","Fire Emblem: Three Houses","165","3195","19","25","72","26.181818"
"8","Secret of Mana","135","2580","19","24","50","22.222222"
"9","Halo 5: Guardians","135","2085","16","22","42","18.666666"
"10","TETRIS 99","90","2955","32","36","97","64.666666"
"11","Super Mario Maker 2","75","1890","25","32","44","35.2"
"12","Just Chatting","60","915","17","21","49","49"
"13","Halo: The Master Chief Collection","60","1200","20","27","16","16"
"14","BlazBlue: Cross Tag Battle","45","750","16","19","32","42.666666"
"15","Lethal League Blaze","45","1065","23","26","51","68"
