"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","465","645","1","5","53","6.838709"
"2","League of Legends","405","570","1","3","38","5.629629"
"3","Apex Legends","360","600","1","5","23","3.833333"
"4","Teamfight Tactics","135","120","0","2","11","4.888888"
"5","Counter-Strike","90","90","1","1","8","5.333333"
"6","Deceit","60","120","2","4","8","8"
"7","Overwatch","30","30","1","1","0","0"
"8","Travel & Outdoors","15","60","4","4","13","52"
"9","Grand Theft Auto V","15","15","1","1","0","0"
"10","Z1: Battle Royale","15","30","2","2","0","0"
