"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","2790","392115","135","282","20990","451.397849"
"2","Dead by Daylight","315","36255","106","161","2129","405.523809"
"3","Marbles on Stream","270","44310","155","251","2961","658"
"4","Border Officer","90","16020","178","193","271","180.666666"
"5","She Sees Red","90","15210","169","189","638","425.333333"
"6","Pacify","75","6600","88","99","335","268"
"7","GeoGuessr","75","12735","169","184","430","344"
"8","Choice Chamber","60","11235","187","200","759","759"
"9","Clone Drone in the Danger Zone","60","10695","178","206","400","400"
"10","Hell Let Loose","45","3525","78","80","107","142.666666"
"11","BombTag","45","5355","119","127","731","974.666666"
"12","Deathgarden: BLOODHARVEST","45","6105","135","179","237","316"
"13","The Cycle","30","2325","77","81","203","406"
"14","Wolfteam","15","3990","266","266","242","968"
"15","Apex Legends","15","2325","155","155","437","1748"
"16","Mosh Pit Simulator","15","2115","141","141","354","1416"
