"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","1830","35355","17","62","1493","48.950819"
"2","Teamfight Tactics","1275","20055","16","45","424","19.952941"
"3","Rust","960","9615","11","39","566","35.375"
"4","Terraria","855","12885","14","29","389","27.298245"
"5","Ys I & II Chronicles","750","13425","17","26","318","25.44"
"6","Super Mario Maker 2","585","18705","27","178","320","32.820512"
"7","The King of Fighters 2002: Unlimited Match","165","2505","14","27","67","24.363636"
"8","Minecraft","135","3060","16","27","98","43.555555"
"9","Rain World","90","1500","16","22","98","65.333333"
"10","Enter the Gungeon","60","690","11","14","51","51"
"11","PUBG: BATTLEGROUNDS","30","825","27","32","17","34"
"12","Spooky's Jump Scare Mansion: HD Renovation","30","435","14","15","11","22"
"13","ISLANDERS","15","285","19","19","55","220"
