"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Minecraft","1500","16290","9","28","297","11.88"
"2","Wolfenstein: Youngblood","1020","6180","5","14","87","5.117647"
"3","Warframe","990","33840","14","219","555","33.636363"
"4","Diablo III","840","11505","11","21","131","9.357142"
"5","Marbles on Stream","420","7035","16","24","98","14"
"6","Borderlands 2","375","4560","11","33","56","8.96"
"7","Apex Legends","285","3645","12","16","31","6.526315"
"8","Goat of Duty","240","4050","16","25","129","32.25"
"9","Sea of Solitude","240","3690","15","19","37","9.25"
"10","Slay the Spire","135","1080","8","10","13","5.777777"
"11","My Friend Pedro","120","2115","17","20","54","27"
"12","Golf With Your Friends","120","1230","10","13","21","10.5"
"13","World of Warships","90","1095","12","15","18","12"
"14","Terraria","90","885","9","15","18","12"
"15","Just Chatting","75","600","6","10","18","14.4"
