"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","1440","16875","10","23","521","21.708333"
"2","Puyo Puyo Tetris","210","2685","13","21","81","23.142857"
"3","Overwatch","210","1605","7","11","73","20.857142"
"4","Human: Fall Flat","195","1410","7","10","24","7.384615"
"5","Deathgarden: BLOODHARVEST","195","1860","9","15","33","10.153846"
"6","Twitch Sings","165","1350","8","16","30","10.90909"
"7","For Honor","120","720","6","12","34","17"
"8","SMITE","105","735","7","11","13","7.428571"
"9","Just Chatting","45","345","7","13","10","13.333333"
"10","Rocket League","15","0","0","0","0","0"
