"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Guild Wars 2","4065","178035","43","191","6560","96.826568"
"2","Astellia","180","3480","19","26","225","75"
