"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Cuphead","840","54150","65","99","854","61"
"2","DARK SOULS III","645","32790","50","80","554","51.534883"
"3","The Binding of Isaac: Repentance","585","39795","66","94","604","61.948717"
"4","Dark Souls","360","28500","72","118","429","71.5"
"5","Team Fortress 2","195","13875","71","87","284","87.384615"
"6","Peggle","180","23955","133","175","267","89"
"7","M.U.G.E.N","135","9645","71","85","207","92"
"8","Divekick","60","2640","44","46","61","61"
"9","Eagle Island","45","2115","47","52","48","64"
"10","Crimzon Clover: World Ignition","45","1515","33","35","42","56"
"11","Danmaku Unlimited 2","30","1035","34","37","24","48"
"12","Unlisted on Twitch","15","1260","84","84","0","0"
