"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 01:33","https://sullygnome.com/channel/mr_horologist/stream/35105764176","102","3876","38","69","1","0","69","39","Science &amp; Technology"
"2","Sunday 28th July 2019 00:51","https://sullygnome.com/channel/mr_horologist/stream/35068323024","144","2592","18","23","3","1","49","19","Science &amp; Technology"
"3","Saturday 27th July 2019 01:43","https://sullygnome.com/channel/mr_horologist/stream/35057042384","182","4368","24","36","4","1","59","18","Science &amp; Technology"
"4","Friday 26th July 2019 02:07","https://sullygnome.com/channel/mr_horologist/stream/35045490800","143","3861","27","42","4","1","61","24","Science &amp; Technology"
"5","Thursday 25th July 2019 01:33","https://sullygnome.com/channel/mr_horologist/stream/35033080240","177","4425","25","35","6","2","52","18","Science &amp; Technology"
"6","Wednesday 24th July 2019 01:46","https://sullygnome.com/channel/mr_horologist/stream/35021002208","149","3576","24","29","5","2","51","20","Science &amp; Technology"
"7","Tuesday 23rd July 2019 02:00","https://sullygnome.com/channel/mr_horologist/stream/35008753984","180","5400","30","45","4","1","68","22","Science &amp; Technology"
"8","Saturday 20th July 2019 01:59","https://sullygnome.com/channel/mr_horologist/stream/34970782352","151","3624","24","32","2","0","63","22","Science &amp; Technology,Just Chatting"
"9","Friday 19th July 2019 01:38","https://sullygnome.com/channel/mr_horologist/stream/34958146384","157","3454","22","32","1","0","72","26","Just Chatting,Science &amp; Technology"
"10","Thursday 18th July 2019 01:28","https://sullygnome.com/channel/mr_horologist/stream/34945612256","107","2247","21","30","2","1","65","32","Just Chatting,Science &amp; Technology"
"11","Wednesday 17th July 2019 01:43","https://sullygnome.com/channel/mr_horologist/stream/34933157040","212","5936","28","43","8","2","113","30","Science &amp; Technology,Just Chatting"
"12","Tuesday 16th July 2019 01:22","https://sullygnome.com/channel/mr_horologist/stream/34920358240","113","2599","23","31","1","0","43","21","Science &amp; Technology"
"13","Saturday 13th July 2019 01:31","https://sullygnome.com/channel/mr_horologist/stream/34883221520","194","5238","27","39","3","0","87","26","Science &amp; Technology,Just Chatting"
"14","Friday 12th July 2019 01:35","https://sullygnome.com/channel/mr_horologist/stream/34870862704","145","2465","17","25","-1","0","36","13","Science &amp; Technology"
"15","Thursday 11th July 2019 01:36","https://sullygnome.com/channel/mr_horologist/stream/34858457984","159","4293","27","33","3","1","80","29","Science &amp; Technology"
"16","Wednesday 10th July 2019 01:37","https://sullygnome.com/channel/mr_horologist/stream/34845951200","173","5017","29","39","4","1","80","26","Science &amp; Technology"
"17","Saturday 6th July 2019 01:27","https://sullygnome.com/channel/mr_horologist/stream/34795766928","123","1845","15","25","2","0","43","19","Science &amp; Technology,Just Chatting"
"18","Thursday 4th July 2019 01:40","https://sullygnome.com/channel/mr_horologist/stream/34772043552","170","4250","25","36","3","1","87","29","Science &amp; Technology"
"19","Wednesday 3rd July 2019 01:35","https://sullygnome.com/channel/mr_horologist/stream/34759535456","175","4725","27","34","5","1","94","31","Science &amp; Technology"
"20","Tuesday 2nd July 2019 01:19","https://sullygnome.com/channel/mr_horologist/stream/34746822016","176","4048","23","34","5","1","73","24","Science &amp; Technology,Just Chatting"
