"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","BanG Dream! Girls Band Party!","1065","10080","8","18","201","11.323943"
"2","League of Legends","375","1905","6","13","38","6.08"
"3","Super Neptunia RPG","255","1365","5","13","29","6.823529"
"4","Fate/Grand Order","165","1155","6","10","24","8.727272"
"5","Honkai Impact 3rd","150","780","5","8","14","5.6"
"6","Bloodstained: Ritual of the Night","135","675","5","6","7","3.111111"
"7","Fate/Extella Link","90","735","8","14","20","13.333333"
"8","osu!","75","1020","13","15","24","19.2"
"9","Just Chatting","45","225","5","7","13","17.333333"
"10","Teamfight Tactics","45","165","3","4","12","16"
"11","Uta Macross Sma-Pho De-Culture","30","120","4","4","3","6"
