"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:00","https://sullygnome.com/channel/piro0520/stream/35112941984","240","101040","421","461","4","1","1120","280","Bloodstained: Ritual of the Night,Talk Shows &amp; Podcasts"
"2","Tuesday 30th July 2019 15:25","https://sullygnome.com/channel/piro0520/stream/35098790368","275","161700","588","665","5","1","1766","371","Talk Shows &amp; Podcasts"
"3","Saturday 27th July 2019 15:47","https://sullygnome.com/channel/piro0520/stream/35062903584","313","199068","636","737","5","0","2113","402","Talk Shows &amp; Podcasts"
"4","Friday 26th July 2019 13:48","https://sullygnome.com/channel/piro0520/stream/35049963888","372","272304","732","883","0","0","2880","443","Talk Shows &amp; Podcasts,Bloodstained: Ritual of the Night"
"5","Tuesday 23rd July 2019 14:07","https://sullygnome.com/channel/piro0520/stream/35013556448","263","201721","767","845","7","1","2107","468","Talk Shows &amp; Podcasts"
"6","Friday 19th July 2019 16:25","https://sullygnome.com/channel/piro0520/stream/34964456560","275","163625","595","680","5","1","1991","419","Talk Shows &amp; Podcasts,Bloodstained: Ritual of the Night"
"7","Thursday 18th July 2019 14:01","https://sullygnome.com/channel/piro0520/stream/34950716048","164","136940","835","933","4","1","1686","613","Talk Shows &amp; Podcasts"
"8","Wednesday 17th July 2019 19:00","https://sullygnome.com/channel/piro0520/stream/34941146928","210","57120","272","345","3","0","1015","270","Talk Shows &amp; Podcasts"
"9","Monday 15th July 2019 14:53","https://sullygnome.com/channel/piro0520/stream/34913477792","337","256457","761","901","12","2","2707","470","Talk Shows &amp; Podcasts"
"10","Saturday 13th July 2019 13:25","https://sullygnome.com/channel/piro0520/stream/34888280336","440","369600","840","1013","10","1","3760","501","Talk Shows &amp; Podcasts"
"11","Thursday 11th July 2019 16:15","https://sullygnome.com/channel/piro0520/stream/34864449424","285","180975","635","722","6","1","1906","381","Talk Shows &amp; Podcasts"
"12","Monday 8th July 2019 15:44","https://sullygnome.com/channel/piro0520/stream/34826795952","271","164768","608","690","6","1","1789","397","Talk Shows &amp; Podcasts"
"13","Sunday 7th July 2019 15:23","https://sullygnome.com/channel/piro0520/stream/34814486800","337","222420","660","752","11","1","2048","356","Talk Shows &amp; Podcasts,Bloodstained: Ritual of the Night"
"14","Friday 5th July 2019 15:52","https://sullygnome.com/channel/piro0520/stream/34789508048","308","210980","685","789","13","2","1774","337","Talk Shows &amp; Podcasts"
"15","Wednesday 3rd July 2019 12:00","https://sullygnome.com/channel/piro0520/stream/34763651664","450","365400","812","1002","11","1","3822","493","Talk Shows &amp; Podcasts,Bloodstained: Ritual of the Night"
