"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Sims 4","825","7545","9","17","295","21.454545"
"2","Dofus","615","6900","10","30","361","35.219512"
"3","Fortnite","585","6105","8","21","287","29.435897"
"4","Grand Theft Auto V","480","6105","13","19","230","28.75"
"5","Stonehearth","390","3600","9","16","258","39.692307"
"6","Just Chatting","270","3780","11","32","205","45.555555"
"7","Mass Effect","240","1635","6","11","84","21"
"8","Passpartout: The Starving Artist","105","960","8","16","125","71.428571"
"9","Twitch Sings","105","1515","14","18","41","23.428571"
"10","osu!","90","900","9","11","62","41.333333"
"11","Minecraft","75","705","9","12","41","32.8"
"12","Super Mario Maker 2","75","930","12","14","32","25.6"
"13","Dead by Daylight","75","945","12","18","50","40"
"14","Stardew Valley","60","465","7","9","35","35"
"15","SpeedRunners","60","285","4","8","17","17"
"16","Animal Crossing: New Leaf","30","165","5","8","40","80"
"17","Hearthstone","15","120","8","8","0","0"
"18","Animal Crossing: Pocket Camp","15","0","0","0","0","0"
"19","Slender: The Arrival","15","180","12","12","23","92"
