"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Overwatch","1275","17850","13","45","460","21.647058"
"2","Apex Legends","165","1320","7","16","158","57.454545"
"3","Just Chatting","75","825","11","12","9","7.2"
