"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Diablo III","11580","425895","35","84","20435","105.880829"
"2","Just Chatting","180","5085","28","34","338","112.666666"
