"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","osu!","3405","54720","13","63","2168","38.202643"
"2","Minecraft","2115","38490","17","33","874","24.794326"
"3","Princess Connect! Re:Dive","585","6915","10","25","473","48.51282"
"4","Just Chatting","195","1620","6","15","107","32.923076"
"5","Teamfight Tactics","195","2520","12","16","52","16"
"6","League of Legends","60","855","14","18","15","15"
"7","Enter the Gungeon","60","1020","17","24","115","115"
"8","PUBG: BATTLEGROUNDS","60","705","11","17","25","25"
"9","The Binding of Isaac: Repentance","45","480","10","11","7","9.333333"
"10","BanG Dream! Girls Band Party!","15","180","12","12","15","60"
"11","Hand Simulator","15","165","11","11","10","40"
"12","Crypt of the NecroDancer","15","165","11","11","0","0"
