"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","3585","165525","40","111","24323","407.079497"
"2","Tom Clancy's Rainbow Six Siege","870","28110","34","59","2620","180.689655"
"3","VA-11 HALL-A: Cyberpunk Bartender Action","585","26655","45","75","1202","123.282051"
"4","Rust","465","30945","61","143","2481","320.129032"
"5","Teamfight Tactics","390","11685","29","54","1569","241.384615"
"6","Games + Demos","360","18270","50","69","2701","450.166666"
"7","Monster Hunter: World","210","8265","37","50","736","210.285714"
"8","Auto Chess","165","16935","102","143","749","272.363636"
"9","Tales Runner","105","7020","66","75","878","501.714285"
"10","Dota 2","105","4935","47","53","669","382.285714"
"11","Counter-Strike Online","105","7740","73","98","706","403.428571"
"12","Outward","75","2655","35","56","195","156"
