"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Game of Thrones","1485","1905","1","4","64","2.585858"
"2","Dishonored 2","870","1350","1","3","23","1.586206"
"3","Diablo III","780","1095","1","4","16","1.230769"
"4","Assassin's Creed Unity","660","855","1","3","44","4"
"5","Unlisted on Twitch","645","825","1","2","59","5.488372"
"6","Odin Sphere: Leifthrasir","450","540","1","2","8","1.066666"
"7","Onechanbara Z2: Chaos","405","405","1","1","9","1.333333"
"8","Zombi","375","870","2","6","38","6.08"
"9","Detroit: Become Human","360","420","1","2","12","2"
"10","Pyre","270","330","1","2","13","2.888888"
"11","Tomb Raider","255","345","1","4","3","0.705882"
"12","11-11: Memories Retold","210","390","1","2","3","0.857142"
"13","Burnout Paradise","135","270","2","2","2","0.888888"
"14","Detroit","135","135","1","1","2","0.888888"
"15","Oddworld: Munch's Oddysee","45","45","1","1","6","8"
