"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Counter-Strike: Global Offensive","930","1560","1","3","107","6.903225"
"2","Ori and the Blind Forest","570","1260","1","4","63","6.631578"
"3","Grand Theft Auto V","300","495","1","3","38","7.6"
"4","Borderlands 2","135","375","2","4","12","5.333333"
"5","Hollow Knight","120","315","2","5","16","8"
"6","Path of Exile","60","180","3","4","8","8"
"7","Fortnite","60","120","2","3","13","13"
"8","Metal Slug X: Super Vehicle - 001","45","120","2","3","11","14.666666"
"9","Gears of War 4","30","45","1","2","4","8"
"10","Gartic","30","60","2","2","2","4"
"11","Hellblade: Senua's Sacrifice","30","60","2","2","3","6"
"12","Unlisted on Twitch","15","30","2","2","0","0"
