"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Counter-Strike: Global Offensive","945","1305","1","6","121","7.682539"
"2","Dota 2","870","1050","0","3","28","1.931034"
"3","Just Chatting","360","570","1","4","44","7.333333"
