"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","DARK SOULS III","2745","89805","31","59","4526","98.928961"
"2","Dark Souls","390","11835","32","49","587","90.307692"
"3","Garry's Mod","255","8100","31","40","434","102.117647"
"4","Borderlands: The Pre-Sequel","120","2985","24","34","239","119.5"
"5","Praey for the Gods","105","3210","30","42","244","139.428571"
"6","Streamer Simulator","105","3465","33","43","205","117.142857"
"7","Just Chatting","90","2685","29","39","245","163.333333"
"8","Cooking Simulator","75","1755","23","33","184","147.2"
"9","Chaos Reborn","45","1200","26","31","65","86.666666"
"10","RollerCoaster Tycoon 2","15","270","18","18","0","0"
"11","Need for Speed: Hot Pursuit","15","525","35","35","46","184"
