"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","915","4275","4","13","139","9.114754"
"2","Jurassic World Evolution","780","5715","6","14","72","5.538461"
"3","Sid Meier's Civilization VI","540","4590","7","17","126","14"
"4","Heroes of the Storm","375","2265","7","14","77","12.32"
"5","Teamfight Tactics","315","1530","5","8","33","6.285714"
"6","Halo: The Master Chief Collection","270","840","3","6","20","4.444444"
"7","Cities: Skylines","240","870","3","6","10","2.5"
"8","Super Mario Maker 2","150","510","3","6","3","1.2"
"9","Twitch Sings","105","705","6","12","1","0.571428"
"10","Crash Bandicoot N. Sane Trilogy","90","945","10","18","23","15.333333"
"11","Just Chatting","90","630","7","7","12","8"
"12","StarCraft","60","675","11","15","20","20"
"13","League of Legends","60","315","5","7","22","22"
"14","StarCraft II","45","120","2","4","3","4"
