"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Persona 5","1005","3810","3","9","62","3.701492"
"2","Kingdom Hearts III","1005","5430","4","18","79","4.716417"
"3","Unlisted on Twitch","75","435","5","6","4","3.2"
