"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Celeste","2880","27075","8","22","294","6.125"
"2","DARK SOULS III","2085","15705","6","17","158","4.546762"
"3","Hollow Knight","1590","15570","9","23","160","6.037735"
"4","Dark Souls","825","6840","8","15","93","6.763636"
"5","Minecraft","765","6480","8","16","76","5.960784"
"6","Rocket League","225","2850","12","18","56","14.933333"
"7","DOOM","225","1320","5","8","35","9.333333"
"8","Just Chatting","165","1770","10","16","23","8.363636"
"9","Resident Evil","120","870","7","12","7","3.5"
"10","Golf With Your Friends","75","915","12","22","25","20"
"11","Overwatch","75","240","3","5","11","8.8"
