"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 25th July 2019 00:13","https://sullygnome.com/channel/sirslaw/stream/35032207728","227","69462","306","409","36","9","1346","336","Dungeons &amp; Dragons"
"2","Thursday 18th July 2019 00:01","https://sullygnome.com/channel/sirslaw/stream/34944641168","239","139576","584","1259","119","29","1975","493","Dungeons &amp; Dragons"
"3","Thursday 11th July 2019 00:15","https://sullygnome.com/channel/sirslaw/stream/34857396400","225","99450","442","567","92","23","2191","547","Dungeons &amp; Dragons"
