"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 27th July 2019 10:15","https://sullygnome.com/channel/franzbake/stream/35060522272","150","600","4","8","0","0","18","6","Workers &amp; Resources: Soviet Republic"
"2","Friday 26th July 2019 11:43","https://sullygnome.com/channel/franzbake/stream/35049098480","332","1992","6","10","0","0","54","9","Workers &amp; Resources: Soviet Republic"
"3","Thursday 25th July 2019 11:57","https://sullygnome.com/channel/franzbake/stream/35037151248","393","3930","10","17","0","0","87","12","Workers &amp; Resources: Soviet Republic"
"4","Monday 22nd July 2019 19:24","https://sullygnome.com/channel/franzbake/stream/35004262096","336","4032","12","17","0","0","57","9","Workers &amp; Resources: Soviet Republic"
"5","Sunday 21st July 2019 19:31","https://sullygnome.com/channel/franzbake/stream/34992684672","194","2134","11","17","1","0","58","16","Workers &amp; Resources: Soviet Republic"
"6","Friday 19th July 2019 18:08","https://sullygnome.com/channel/franzbake/stream/34965594544","322","3542","11","17","2","0","45","8","Workers &amp; Resources: Soviet Republic"
"7","Thursday 18th July 2019 02:45","https://sullygnome.com/channel/franzbake/stream/34946332800","450","3600","8","13","1","0","74","9","Workers &amp; Resources: Soviet Republic"
"8","Tuesday 16th July 2019 19:53","https://sullygnome.com/channel/franzbake/stream/34929267792","322","2576","8","13","0","0","55","10","Workers &amp; Resources: Soviet Republic"
"9","Tuesday 16th July 2019 00:47","https://sullygnome.com/channel/franzbake/stream/34919974416","283","1698","6","8","0","0","19","4","Workers &amp; Resources: Soviet Republic"
"10","Sunday 14th July 2019 12:59","https://sullygnome.com/channel/franzbake/stream/34900494576","226","2260","10","14","-1","0","44","11","Workers &amp; Resources: Soviet Republic"
"11","Saturday 13th July 2019 18:22","https://sullygnome.com/channel/franzbake/stream/34891200368","233","2563","11","14","1","0","50","13","Workers &amp; Resources: Soviet Republic"
"12","Tuesday 9th July 2019 18:04","https://sullygnome.com/channel/franzbake/stream/34840812896","311","3421","11","19","-1","0","88","16","Workers &amp; Resources: Soviet Republic"
"13","Sunday 7th July 2019 18:14","https://sullygnome.com/channel/franzbake/stream/34816293888","346","6920","20","37","4","0","125","20","Workers &amp; Resources: Soviet Republic"
"14","Sunday 7th July 2019 08:45","https://sullygnome.com/channel/franzbake/stream/34811588080","450","6300","14","20","1","0","93","12","Workers &amp; Resources: Soviet Republic"
"15","Friday 5th July 2019 11:28","https://sullygnome.com/channel/franzbake/stream/34787465296","302","3322","11","19","0","0","79","15","Workers &amp; Resources: Soviet Republic"
"16","Thursday 4th July 2019 18:53","https://sullygnome.com/channel/franzbake/stream/34780041952","307","3991","13","21","0","0","83","16","Workers &amp; Resources: Soviet Republic"
"17","Tuesday 2nd July 2019 18:50","https://sullygnome.com/channel/franzbake/stream/34754967040","400","4000","10","16","0","0","57","8","Workers &amp; Resources: Soviet Republic"
"18","Monday 1st July 2019 17:55","https://sullygnome.com/channel/franzbake/stream/34741924528","155","1395","9","13","0","0","33","12","Workers &amp; Resources: Soviet Republic"
