"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","825","1455","1","10","118","8.581818"
"2","Fortnite","555","990","1","5","150","16.216216"
"3","PUBG: BATTLEGROUNDS","300","645","1","5","84","16.8"
"4","Grand Theft Auto V","210","555","2","9","27","7.714285"
"5","Stranger Things 3: The Game","60","30","0","2","3","3"
"6","Grand Theft Auto: San Andreas","60","90","1","2","16","16"
"7","Apex Legends","45","45","1","1","4","5.333333"
"8","Home Run Derby VR","30","330","11","17","32","64"
"9","Travel & Outdoors","30","60","2","2","0","0"
"10","Need for Speed: Carbon","15","30","2","2","28","112"
