"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","2325","72000","24","200","1882","48.567741"
"2","Left 4 Dead 2","795","16770","20","39","522","39.396226"
"3","Grand Theft Auto V","270","12060","44","191","112","24.888888"
"4","Teamfight Tactics","225","3045","13","22","158","42.133333"
"5","Deceit","180","3030","16","21","117","39"
"6","Dead Space 3","135","1875","13","24","50","22.222222"
"7","Just Chatting","120","2295","21","49","213","106.5"
"8","skribbl.io","75","2535","33","37","54","43.2"
"9","Counter-Strike","75","1785","23","43","28","22.4"
"10","The Jackbox Party Pack","60","1740","29","35","79","79"
