"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 20:00","https://sullygnome.com/channel/qphalcy0n/stream/35114255328","60","240","4","5","0","0","8","6","Science &amp; Technology"
"2","Tuesday 30th July 2019 19:45","https://sullygnome.com/channel/qphalcy0n/stream/35101579712","120","360","3","5","0","0","10","4","Science &amp; Technology"
"3","Monday 29th July 2019 18:00","https://sullygnome.com/channel/qphalcy0n/stream/35087812992","225","900","4","9","1","0","28","7","Science &amp; Technology"
"4","Sunday 28th July 2019 22:26","https://sullygnome.com/channel/qphalcy0n/stream/35078915584","169","1014","6","10","0","0","29","9","Science &amp; Technology"
"5","Saturday 27th July 2019 03:15","https://sullygnome.com/channel/qphalcy0n/stream/35057712160","60","180","3","7","0","0","4","3","Science &amp; Technology"
"6","Friday 26th July 2019 20:15","https://sullygnome.com/channel/qphalcy0n/stream/35053686240","105","630","6","11","0","0","22","11","Science &amp; Technology"
"7","Thursday 25th July 2019 18:15","https://sullygnome.com/channel/qphalcy0n/stream/35040349296","180","720","4","6","0","0","32","9","Science &amp; Technology"
"8","Tuesday 23rd July 2019 18:35","https://sullygnome.com/channel/qphalcy0n/stream/35016228576","190","1520","8","13","-1","0","43","15","Science &amp; Technology"
"9","Monday 22nd July 2019 20:58","https://sullygnome.com/channel/qphalcy0n/stream/35005500240","62","434","7","10","0","0","24","19","Science &amp; Technology"
"10","Sunday 21st July 2019 20:26","https://sullygnome.com/channel/qphalcy0n/stream/34993317392","139","1251","9","13","3","1","38","19","Science &amp; Technology"
"11","Sunday 21st July 2019 02:00","https://sullygnome.com/channel/qphalcy0n/stream/34984420784","90","90","1","3","0","0","7","4","Science &amp; Technology"
"12","Saturday 20th July 2019 01:30","https://sullygnome.com/channel/qphalcy0n/stream/34970485904","120","720","6","10","0","0","27","12","Science &amp; Technology"
"13","Friday 19th July 2019 01:42","https://sullygnome.com/channel/qphalcy0n/stream/34958184736","168","672","4","8","0","0","25","9","Science &amp; Technology"
"14","Thursday 18th July 2019 18:57","https://sullygnome.com/channel/qphalcy0n/stream/34953724800","183","1098","6","9","0","0","34","10","Science &amp; Technology"
"15","Wednesday 17th July 2019 17:37","https://sullygnome.com/channel/qphalcy0n/stream/34940224144","188","1128","6","10","-1","0","19","5","Science &amp; Technology"
"16","Wednesday 17th July 2019 02:45","https://sullygnome.com/channel/qphalcy0n/stream/34933751360","90","360","4","6","0","0","11","6","Science &amp; Technology"
"17","Tuesday 16th July 2019 19:53","https://sullygnome.com/channel/qphalcy0n/stream/34929263744","127","762","6","10","0","0","22","11","Science &amp; Technology"
"18","Monday 15th July 2019 20:16","https://sullygnome.com/channel/qphalcy0n/stream/34917063936","104","832","8","11","0","0","10","6","Science &amp; Technology"
"19","Sunday 14th July 2019 20:26","https://sullygnome.com/channel/qphalcy0n/stream/34905172992","154","1232","8","12","0","0","33","12","Science &amp; Technology"
"20","Saturday 13th July 2019 20:19","https://sullygnome.com/channel/qphalcy0n/stream/34892561088","146","1752","12","18","1","0","35","15","Science &amp; Technology"
"21","Friday 12th July 2019 19:27","https://sullygnome.com/channel/qphalcy0n/stream/34879316896","153","1836","12","15","2","0","42","16","Science &amp; Technology"
"22","Thursday 11th July 2019 17:52","https://sullygnome.com/channel/qphalcy0n/stream/34865651376","233","2097","9","14","0","0","35","8","Science &amp; Technology"
"23","Tuesday 9th July 2019 19:15","https://sullygnome.com/channel/qphalcy0n/stream/34841588128","150","1050","7","11","0","0","31","11","Science &amp; Technology"
"24","Sunday 7th July 2019 20:13","https://sullygnome.com/channel/qphalcy0n/stream/34817747472","212","2120","10","19","1","0","65","17","Science &amp; Technology"
"25","Friday 5th July 2019 20:20","https://sullygnome.com/channel/qphalcy0n/stream/34792537392","190","1330","7","11","0","0","37","11","Science &amp; Technology"
"26","Thursday 4th July 2019 20:15","https://sullygnome.com/channel/qphalcy0n/stream/34780975824","240","1920","8","15","-1","0","73","17","Science &amp; Technology"
