"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Call of Duty: Black Ops 4","540","2010","4","9","50","5.555555"
"2","PUBG Mobile","135","300","2","5","1","0.444444"
"3","7 Days to Die","135","525","3","5","7","3.111111"
"4","God of War","75","135","1","3","13","10.4"
"5","Left 4 Dead 2","45","90","2","4","5","6.666666"
"6","Just Chatting","45","90","2","3","1","1.333333"
"7","Tom Clancy's Rainbow Six Siege","30","0","0","0","0","0"
"8","PUBG: BATTLEGROUNDS","30","30","1","1","2","4"
"9","PUBG Mobile","15","15","1","1","0","0"
