"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Overwatch","3240","19890","5","15","431","7.981481"
"2","Apex Legends","615","2655","4","9","62","6.04878"
"3","ARK: Survival Evolved","225","720","3","5","12","3.2"
"4","Teamfight Tactics","195","1215","5","8","45","13.846153"
"5","The Elder Scrolls V: Skyrim","180","1110","6","8","29","9.666666"
"6","Terraria","180","585","2","6","29","9.666666"
"7","Resident Evil 2","150","930","6","9","53","21.2"
"8","Gears 5","135","525","3","6","21","9.333333"
"9","Middle-earth: Shadow of War","60","255","4","5","7","7"
"10","Super Mario 64","60","285","4","6","3","3"
"11","Minecraft","15","30","2","2","1","4"
