"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 22:20","https://sullygnome.com/channel/epicfisherman15/stream/35103520704","115","1840","16","23","1","0","39","19","Just Chatting"
"2","Monday 29th July 2019 22:57","https://sullygnome.com/channel/epicfisherman15/stream/35091253728","48","480","10","13","1","1","7","9","Just Chatting"
"3","Friday 26th July 2019 22:46","https://sullygnome.com/channel/epicfisherman15/stream/35055316576","89","1424","16","24","3","2","31","20","Travel &amp; Outdoors"
"4","Thursday 25th July 2019 23:15","https://sullygnome.com/channel/epicfisherman15/stream/35043678320","60","780","13","17","1","1","12","12","Travel &amp; Outdoors"
"5","Sunday 21st July 2019 22:06","https://sullygnome.com/channel/epicfisherman15/stream/34994372992","144","3168","22","32","1","0","68","30","Travel &amp; Outdoors"
"6","Saturday 20th July 2019 18:15","https://sullygnome.com/channel/epicfisherman15/stream/34979408896","30","420","14","16","0","0","0","0","Travel &amp; Outdoors"
"7","Saturday 20th July 2019 10:27","https://sullygnome.com/channel/epicfisherman15/stream/34974387520","348","5916","17","39","5","0","172","28","Travel &amp; Outdoors"
"8","Saturday 20th July 2019 00:00","https://sullygnome.com/channel/epicfisherman15/stream/34969529696","15","75","5","8","0","0","6","12","Travel &amp; Outdoors"
"9","Tuesday 16th July 2019 21:59","https://sullygnome.com/channel/epicfisherman15/stream/34930690464","226","4294","19","29","4","1","129","36","Travel &amp; Outdoors"
"10","Monday 15th July 2019 23:14","https://sullygnome.com/channel/epicfisherman15/stream/34918987488","61","366","6","12","0","0","20","16","Travel &amp; Outdoors"
"11","Sunday 14th July 2019 16:52","https://sullygnome.com/channel/epicfisherman15/stream/34902627216","113","1130","10","21","0","0","39","19","Travel &amp; Outdoors"
"12","Friday 12th July 2019 22:07","https://sullygnome.com/channel/epicfisherman15/stream/34881003392","113","565","5","10","1","0","47","20","Travel &amp; Outdoors"
"13","Friday 12th July 2019 20:36","https://sullygnome.com/channel/epicfisherman15/stream/34880131712","39","156","4","6","0","0","6","8","Travel &amp; Outdoors"
"14","Friday 12th July 2019 16:35","https://sullygnome.com/channel/epicfisherman15/stream/34877313344","55","825","15","18","0","0","31","41","Travel &amp; Outdoors"
"15","Friday 12th July 2019 15:45","https://sullygnome.com/channel/epicfisherman15/stream/34876632480","45","180","4","7","0","0","19","19","Travel &amp; Outdoors"
"16","Friday 12th July 2019 10:45","https://sullygnome.com/channel/epicfisherman15/stream/34874474336","75","300","4","6","0","0","18","12","Travel &amp; Outdoors"
"17","Thursday 11th July 2019 20:56","https://sullygnome.com/channel/epicfisherman15/stream/34867867408","154","2002","13","20","0","0","104","37","Travel &amp; Outdoors"
"18","Thursday 11th July 2019 10:30","https://sullygnome.com/channel/epicfisherman15/stream/34861935312","75","450","6","9","-1","0","20","13","Travel &amp; Outdoors"
"19","Wednesday 10th July 2019 22:45","https://sullygnome.com/channel/epicfisherman15/stream/34856600160","75","975","13","16","1","0","26","20","Travel &amp; Outdoors"
"20","Wednesday 10th July 2019 10:30","https://sullygnome.com/channel/epicfisherman15/stream/34849453120","120","720","6","10","3","1","39","17","Travel &amp; Outdoors"
"21","Tuesday 9th July 2019 10:30","https://sullygnome.com/channel/epicfisherman15/stream/34836858864","90","720","8","10","0","0","17","9","Travel &amp; Outdoors"
"22","Sunday 7th July 2019 20:59","https://sullygnome.com/channel/epicfisherman15/stream/34818263120","46","414","9","15","0","0","11","11","Travel &amp; Outdoors"
"23","Thursday 4th July 2019 21:15","https://sullygnome.com/channel/epicfisherman15/stream/34781675920","150","1950","13","24","1","0","62","22","Travel &amp; Outdoors"
"24","Wednesday 3rd July 2019 22:00","https://sullygnome.com/channel/epicfisherman15/stream/34769795184","135","1755","13","17","2","0","48","19","Travel &amp; Outdoors"
"25","Tuesday 2nd July 2019 22:31","https://sullygnome.com/channel/epicfisherman15/stream/34757536416","149","1043","7","10","3","1","54","19","Travel &amp; Outdoors"
"26","Monday 1st July 2019 21:16","https://sullygnome.com/channel/epicfisherman15/stream/34744309424","164","2788","17","27","3","1","114","45","Travel &amp; Outdoors"
