"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Teamfight Tactics","1665","8490","4","10","232","8.36036"
"2","PUBG: BATTLEGROUNDS","1455","7875","4","10","214","8.824742"
"3","Minecraft","1305","7560","5","10","139","6.390804"
"4","League of Legends","1215","5445","3","13","134","6.617283"
"5","Cyphers","615","3330","4","14","83","8.09756"
"6","Tom Clancy's Rainbow Six Siege","465","1965","3","8","75","9.677419"
"7","Hollow Knight","375","2280","5","10","48","7.68"
"8","Just Chatting","315","1335","3","6","78","14.857142"
"9","Garry's Mod","315","1455","4","8","48","9.142857"
"10","Overwatch","270","1035","3","7","38","8.444444"
"11","Music","150","1050","6","10","42","16.8"
"12","A Dance of Fire and Ice","90","720","8","11","16","10.666666"
"13","64.0","90","450","6","8","14","9.333333"
"14","Fortnite","60","195","3","5","6","6"
"15","Heroes of the Storm","30","225","7","8","11","22"
"16","We Were Here","30","90","3","3","17","34"
