"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tekken 7","1140","9540","7","24","282","14.842105"
"2","Teamfight Tactics","540","3060","4","11","61","6.777777"
"3","Overwatch","270","810","3","7","25","5.555555"
"4","Cooking Simulator","165","780","5","8","28","10.181818"
"5","A Dance of Fire and Ice","135","900","4","10","20","8.888888"
"6","Armello","75","165","2","3","5","4"
"7","Slay the Spire","60","285","4","6","14","14"
"8","Just Chatting","45","210","4","6","16","21.333333"
"9","NieR: Automata","45","225","5","7","13","17.333333"
