"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 1st August 2019 05:47","https://sullygnome.com/channel/vlgamegx/stream/35111096320","148","1628","11","26","-1","0","1354","73","Talk Shows &amp; Podcasts"
"2","Tuesday 30th July 2019 11:18","https://sullygnome.com/channel/vlgamegx/stream/35096857744","1167","19839","17","36","5","0","1649","84","Talk Shows &amp; Podcasts"
"3","Tuesday 30th July 2019 09:05","https://sullygnome.com/channel/vlgamegx/stream/35096118352","85","340","4","7","-1","0","30","20","Talk Shows &amp; Podcasts"
"4","Wednesday 24th July 2019 05:25","https://sullygnome.com/channel/vlgamegx/stream/35013447040","320","7360","23","261","-2","0","1577","76","Talk Shows &amp; Podcasts"
"5","Tuesday 23rd July 2019 11:28","https://sullygnome.com/channel/vlgamegx/stream/35011586992","137","1096","8","13","-4","0","299","62","Talk Shows &amp; Podcasts"
"6","Monday 22nd July 2019 14:21","https://sullygnome.com/channel/vlgamegx/stream/34999688480","909","17271","19","51","-3","0","4414","229","Talk Shows &amp; Podcasts"
"7","Monday 22nd July 2019 09:21","https://sullygnome.com/channel/vlgamegx/stream/34999344416","39","2106","54","137","-1","-2","2732","5464","Talk Shows &amp; Podcasts"
"8","Monday 22nd July 2019 06:03","https://sullygnome.com/channel/vlgamegx/stream/34998415280","192","76032","396","631","8","2","24928","7670","Talk Shows &amp; Podcasts"
"9","Sunday 21st July 2019 07:42","https://sullygnome.com/channel/vlgamegx/stream/34986886304","618","4326","7","17","-4","0","288","27","Talk Shows &amp; Podcasts"
"10","Saturday 20th July 2019 18:02","https://sullygnome.com/channel/vlgamegx/stream/34973707280","688","4816","7","24","-8","0","1169","55","Talk Shows &amp; Podcasts"
"11","Tuesday 16th July 2019 08:05","https://sullygnome.com/channel/vlgamegx/stream/34923300848","1810","23530","13","30","-7","0","1547","51","Talk Shows &amp; Podcasts"
"12","Monday 15th July 2019 13:30","https://sullygnome.com/channel/vlgamegx/stream/34912813104","1035","9315","9","15","-1","0","987","56","Talk Shows &amp; Podcasts"
"13","Friday 12th July 2019 05:00","https://sullygnome.com/channel/vlgamegx/stream/34872697312","0","0","4","4","0","0","0","0","Travel &amp; Outdoors"
"14","Friday 12th July 2019 04:00","https://sullygnome.com/channel/vlgamegx/stream/34872060096","0","0","14","14","0","0","0","0","Travel &amp; Outdoors"
"15","Tuesday 9th July 2019 10:15","https://sullygnome.com/channel/vlgamegx/stream/34836827024","1335","20025","15","29","-2","0","1322","59","Talk Shows &amp; Podcasts"
"16","Tuesday 9th July 2019 09:01","https://sullygnome.com/channel/vlgamegx/stream/34836452640","59","472","8","10","-1","-1","64","64","Talk Shows &amp; Podcasts"
"17","Monday 8th July 2019 08:13","https://sullygnome.com/channel/vlgamegx/stream/34823758432","1442","20188","14","26","-6","0","1319","54","Talk Shows &amp; Podcasts"
"18","Sunday 7th July 2019 19:12","https://sullygnome.com/channel/vlgamegx/stream/34813890896","408","4488","11","20","0","0","650","56","Talk Shows &amp; Podcasts"
"19","Saturday 6th July 2019 07:26","https://sullygnome.com/channel/vlgamegx/stream/34798635248","1249","14988","12","30","-6","0","1301","61","Talk Shows &amp; Podcasts"
"20","Tuesday 2nd July 2019 08:01","https://sullygnome.com/channel/vlgamegx/stream/34749717744","1934","36746","19","78","-2","0","3461","106","Talk Shows &amp; Podcasts"
"21","Monday 1st July 2019 13:09","https://sullygnome.com/channel/vlgamegx/stream/34739265344","1101","14313","13","47","0","0","2093","113","Talk Shows &amp; Podcasts"
