"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Sea of Thieves","3000","78000","23","59","1654","33.08"
"2","Squad","1785","39630","21","43","1471","49.445378"
"3","Apex Legends","1275","19740","14","27","343","16.141176"
"4","Just Chatting","540","7095","13","35","317","35.222222"
"5","Destiny 2","240","3555","15","18","57","14.25"
"6","Wolfenstein: Youngblood","240","2430","10","13","49","12.25"
"7","Risk of Rain 2","240","3435","14","23","79","19.75"
"8","Hunt: Showdown","210","4260","20","34","220","62.857142"
"9","PUBG: BATTLEGROUNDS","150","2895","19","25","92","36.8"
"10","Streets of Rogue","105","1545","14","16","51","29.142857"
"11","South Park: The Fractured But Whole","45","750","16","18","12","16"
"12","The Cursed Forest","45","780","17","19","12","16"
"13","35MM","30","510","17","17","9","18"
"14","Unlisted on Twitch","15","120","8","8","12","48"
"15","RimWorld","15","150","10","10","5","20"
