"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","5175","100110","18","41","1115","12.927536"
"2","Heroes of the Storm","1035","15405","14","24","326","18.89855"
"3","Bloodstained: Ritual of the Night","675","7155","9","14","110","9.777777"
"4","Griftlands","510","5865","11","18","120","14.117647"
"5","Ori and the Blind Forest","480","5535","10","22","82","10.25"
"6","Immortal Redneck","375","6405","16","26","120","19.2"
"7","Cuphead","270","3375","12","18","97","21.555555"
"8","Teamfight Tactics","165","3090","18","21","43","15.636363"
"9","Deep Rock Galactic","135","1500","9","18","37","16.444444"
"10","Outer Wilds","75","330","2","7","20","16"
"11","skribbl.io","75","1890","25","27","30","24"
"12","Last Day of June","60","240","4","7","4","4"
"13","Dead Cells","60","615","10","12","16","16"
"14","Deceit","60","765","12","15","4","4"
