"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Witcher 3: Wild Hunt","2805","14925","4","13","508","10.86631"
"2","Assassin's Creed Odyssey","1545","7140","4","8","198","7.68932"
"3","Wolfenstein: The New Order","660","1785","2","5","73","6.636363"
"4","Escape First","480","1005","1","4","24","3"
"5","Heavy Rain","465","1380","2","7","18","2.32258"
"6","DOOM","450","1770","3","8","46","6.133333"
"7","Wolfenstein II: The New Colossus","420","1065","2","5","68","9.714285"
"8","Wolfenstein: The Old Blood","300","615","1","4","25","5"
"9","Borderlands 2","270","780","2","6","44","9.777777"
"10","Unlisted on Twitch","210","795","2","6","40","11.428571"
"11","A Story About My Uncle","165","240","1","3","9","3.272727"
"12","Wolfenstein: Youngblood","105","180","1","3","7","4"
"13","Sky Noon","15","30","2","2","0","0"
