"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Astroneer","1515","9615","5","29","425","16.831683"
"2","Assassin's Creed III","855","1185","0","4","66","4.631578"
"3","Science & Technology","555","1080","1","4","42","4.54054"
"4","Just Chatting","465","1065","2","5","53","6.838709"
"5","Talk Shows & Podcasts","420","990","2","4","34","4.857142"
"6","Dead by Daylight","405","585","1","3","47","6.962962"
"7","Overwatch","255","600","2","5","30","7.058823"
"8","Automachef","105","360","3","6","16","9.142857"
"9","Minion Masters","30","15","0","1","4","8"
"10","Raft","30","30","1","2","6","12"
