"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Assassin's Creed Odyssey","705","7635","10","18","345","29.361702"
"2","FINAL FANTASY XIV ONLINE","450","3390","7","11","157","20.933333"
"3","The Universim","165","2490","15","20","106","38.545454"
"4","Stellar Tactics","105","750","7","8","63","36"
