"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Kubifaktorium","1065","86685","81","121","292","16.450704"
"2","Craft the World","930","80025","85","122","326","21.032258"
"3","The Universim","825","62970","76","106","273","19.854545"
"4","Software Inc.","555","52065","93","117","117","12.648648"
"5","Games + Demos","465","44850","97","130","274","35.354838"
"6","Automachef","225","23175","103","130","77","20.533333"
"7","Griftlands","225","17565","78","99","99","26.4"
"8","Mutant Year Zero: Road to Eden","225","21225","94","130","86","22.933333"
"9","Founders' Fortune","210","19620","93","125","60","17.142857"
"10","Godhood","180","15015","46","101","95","31.666666"
"11","Project Winter","180","15105","83","114","82","27.333333"
"12","Oxygen Not Included","105","8505","81","99","34","19.428571"
"13","Killsquad","105","13785","131","159","236","134.857142"
