"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","3225","317115","85","394","19642","365.432558"
"2","League of Legends","2955","238890","82","348","10863","220.568527"
"3","Rust","2895","162645","51","202","9885","204.870466"
"4","Don't Starve Together","225","17580","78","132","644","171.733333"
"5","Teamfight Tactics","195","13770","71","88","677","208.307692"
"6","MapleStory","195","18930","97","128","857","263.692307"
"7","Minecraft","180","18660","96","136","866","288.666666"
"8","Games + Demos","165","9510","57","73","667","242.545454"
"9","Raft","105","10080","96","107","628","358.857142"
"10","PUBG: BATTLEGROUNDS","75","6330","84","99","382","305.6"
