"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","2730","388395","129","244","8272","181.802197"
"2","Tom Clancy's Rainbow Six Siege","1335","135030","86","263","4606","207.011235"
"3","Battlefield V","1020","110865","93","190","3302","194.235294"
"4","Fortnite","945","86460","100","216","2084","132.31746"
"5","Just Chatting","885","50370","53","226","5368","363.932203"
"6","Apex Legends","825","82935","91","220","2822","205.236363"
"7","HITMAN 2","675","39615","57","87","1513","134.488888"
"8","Twitch Sings","495","65865","155","240","1672","202.666666"
"9","House Flipper","450","36120","108","235","958","127.733333"
"10","PUBG: BATTLEGROUNDS","345","32610","84","189","671","116.695652"
"11","Outlast","285","50895","189","212","616","129.68421"
"12","theHunter: Call of the Wild","180","10515","58","69","351","117"
"13","Overwatch","180","15885","87","113","663","221"
"14","Gang Beasts","135","6675","50","70","326","144.888888"
"15","Tropico 6","105","6285","59","65","131","74.857142"
"16","Call of Duty: Black Ops 4","105","12315","117","141","439","250.857142"
"17","League of Legends","75","3510","46","51","127","101.6"
"18","South Park: The Fractured But Whole","75","3330","44","53","348","278.4"
"19","Satisfactory","60","3495","58","62","124","124"
"20","Art","30","1590","53","59","82","164"
"21","Need For Speed: Payback","15","1110","74","74","98","392"
"22","Space Engineers","15","1410","94","94","50","200"
