"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","SCUM","2745","11760","4","10","535","11.693989"
"2","Teamfight Tactics","1485","6270","3","11","203","8.20202"
"3","Counter-Strike","1230","6705","5","11","291","14.195121"
"4","PUBG: BATTLEGROUNDS","1005","4710","4","11","169","10.089552"
"5","Fishing: Barents Sea","135","675","5","7","18","8"
"6","Euro Truck Simulator 2","135","675","4","7","24","10.666666"
"7","Just Chatting","90","390","3","7","36","24"
"8","Tropico 6","90","330","3","5","17","11.333333"
"9","Space Engineers","75","375","5","11","11","8.8"
"10","Gartic","60","540","9","11","13","13"
"11","60 Seconds!","45","360","8","9","14","18.666666"
